Timecode List:,00:00:15.724,00:00:29.154,00:00:55.013,00:01:50.360,00:02:28.523,00:03:01.932,00:04:13.128,00:04:17.007,00:05:27.661,00:05:49.015,00:06:54.164,00:08:13.493,00:08:21.042,00:09:13.261,00:09:34.699,00:09:46.086,00:09:48.546,00:09:52.842,00:10:06.147,00:10:29.921,00:10:47.814,00:12:26.621,00:12:44.639,00:12:58.319,00:13:22.176,00:13:57.128,00:14:00.256,00:14:50.681,00:14:53.726,00:14:57.105,00:15:14.872,00:15:31.097,00:15:36.352,00:16:52.094,00:17:04.482,00:17:16.535,00:17:47.858,00:17:49.110,00:17:49.986,00:17:53.739,00:17:54.699,00:18:08.796,00:18:30.484,00:18:40.703,00:18:42.371,00:18:49.211,00:18:51.839,00:19:03.309,00:19:11.108,00:19:31.379,00:20:06.038,00:20:59.800,00:21:44.887,00:21:48.599,00:22:11.205,00:23:36.165,00:23:51.764,00:23:58.103,00:25:19.059,00:25:30.904,00:25:33.574,00:25:36.243,00:25:50.841,00:25:58.348,00:26:01.769,00:26:29.963,00:26:40.599,00:26:58.492,00:27:23.851,00:27:31.483,00:27:33.443,00:27:47.207,00:27:53.547,00:28:27.080,00:29:33.480,00:29:58.839,00:30:25.449,00:30:31.788,00:30:32.998,00:30:34.166,00:30:51.224,00:31:28.095,00:31:37.020,00:31:38.355,00:31:48.573,00:32:25.944,00:32:45.630,00:33:02.856,00:33:13.200,00:33:16.453,00:33:29.174,00:33:35.555,00:33:52.280,00:34:26.523,00:36:14.172,00:36:50.709,00:37:28.246,00:37:47.015,00:38:01.905,00:38:30.767,00:39:53.558,00:40:52.367,00:41:06.673,00:41:32.115,00:41:47.547,00:41:50.967,00:41:58.391,00:42:22.290,00:42:24.625,00:42:25.293,00:42:26.419,00:42:56.157,00:42:59.660,00:43:06.209,00:43:12.298,00:43:26.521,00:43:34.403,00:44:09.647,00:45:01.073,00:45:09.624,00:45:26.432,00:45:32.104,00:45:51.582,00:46:10.935,00:46:17.483,00:46:27.159,00:46:40.172,00:46:54.979,00:47:00.067,00:48:18.145,00:48:28.864,00:48:50.803,00:48:58.477,00:49:19.790,00:49:21.208,00:49:23.919,00:49:32.386,00:49:41.979,00:49:52.364,00:50:10.925,00:50:26.315,00:50:35.908,00:51:05.271,00:52:29.688,00:52:31.565,00:52:36.445,00:52:38.197,00:53:24.576,00:53:34.420,00:53:42.845,00:53:49.143,00:54:10.122,00:54:17.379,00:54:33.562,00:54:41.153,00:54:45.699,00:55:06.845,00:55:10.098,00:55:14.645,00:55:16.188,00:55:19.775,00:55:22.444,00:55:26.406,00:55:38.085,00:55:56.645,00:55:57.229,00:55:58.730,00:56:00.315,00:56:01.525,00:56:02.734,00:56:09.324,00:56:11.493,00:56:14.371,00:56:17.624,00:56:22.588,00:56:25.382,00:56:49.281,00:56:51.450,00:56:54.036,00:57:33.367,00:57:40.666,00:57:41.458,00:57:42.626,00:57:50.425,00:57:57.224,00:58:06.108,00:58:11.321,00:58:14.199,00:58:49.526,00:58:53.613,00:59:53.256,01:00:03.350,01:00:06.019,01:00:37.133,01:00:45.475,01:00:48.812,01:01:06.663,01:01:47.037,01:02:04.554,01:02:17.108,01:02:35.543,01:02:50.308,01:02:55.647,01:03:03.196,01:03:27.345,01:03:34.311,01:03:47.407,01:04:03.882,01:04:27.530,01:05:05.527,01:05:13.284,01:05:27.048,01:05:31.594,01:05:57.745,01:05:59.372,01:06:02.459,01:06:09.632,01:06:14.721,01:06:18.183,01:06:31.863,01:06:40.663,01:07:11.903,01:07:15.073,01:07:16.115,01:07:28.795,01:07:59.284,01:08:07.917,01:08:24.017,01:08:24.600,01:08:34.110,01:08:52.128,01:08:53.504,01:08:54.589,01:08:55.673,01:08:57.175,01:08:58.092,01:09:00.887,01:09:04.515,01:09:19.864,01:09:34.212,01:09:49.227,01:09:50.520,01:09:55.066,01:10:05.952,01:10:35.481,01:10:48.911,01:10:50.997,01:11:21.402,01:11:27.950,01:11:28.701,01:11:29.744,01:11:31.704,01:11:46.052,01:12:06.364,01:12:15.706,01:12:24.131,01:12:39.313,01:12:49.574,01:13:11.887,01:13:13.806,01:13:14.473,01:13:49.383,01:13:56.641,01:14:03.189,01:14:05.983,01:14:07.944,01:14:15.326,01:14:25.836,01:14:49.151,01:14:52.488,01:14:54.824,01:14:55.783,01:14:56.450,01:15:20.766,01:15:32.987,01:16:10.983,01:16:35.591,01:16:49.355,01:16:57.196,01:16:59.114,01:17:25.224,01:17:57.172,01:18:01.552,01:18:07.266,01:18:09.185,01:18:12.188,01:18:13.147,01:18:26.118,01:18:34.752,01:18:37.755,01:18:40.174,01:18:41.550,01:18:43.427,01:19:01.904,01:19:10.287,01:19:18.671,01:19:19.296,01:19:23.467,01:19:27.096,01:19:29.098,01:19:31.392,01:19:33.727,01:19:35.562,01:19:36.730,01:19:40.985,01:20:17.646,01:20:26.363,01:20:29.241,01:21:00.981,01:21:05.319,01:21:18.957,01:24:36.405,01:25:18.530,01:25:19.573,01:25:31.460,01:30:13.658,01:31:40.495,01:31:42.747,01:32:27.292,01:32:38.386,01:32:47.103,01:32:59.365,01:33:17.759,01:33:45.578,01:34:03.680,01:34:07.684,01:34:23.616,01:34:30.874,01:34:44.929,01:34:58.067,01:35:06.242,01:35:08.786,01:35:17.754,01:35:20.173,01:35:21.216,01:35:24.010,01:35:27.931,01:35:30.225,01:35:37.190,01:35:58.795,01:36:08.221,01:36:25.613,01:36:36.874,01:37:26.382,01:37:27.008,01:37:47.695,01:38:11.928,01:38:18.559,01:38:23.231,01:38:24.023,01:38:30.071,01:38:40.581,01:38:41.374,01:40:39.533,01:41:48.936,01:43:34.875,01:44:26.802,01:44:32.558,01:44:35.186,01:45:25.110,01:46:00.396,01:46:09.530,01:46:16.328,01:46:27.423,01:47:27.983,01:47:34.406,01:47:56.887,01:48:15.739,01:48:42.016,01:48:57.448,01:49:22.806,01:49:26.894,01:50:02.221,01:51:53.707,01:52:12.142,01:53:09.032,01:53:16.873,01:53:48.822,01:53:55.620,01:54:53.220,01:55:11.029,01:56:27.189,01:56:31.026,01:56:35.655,01:56:44.998,01:56:55.967,01:57:33.255,01:57:52.691,01:58:39.237,01:58:55.795,01:58:59.883,01:59:03.386,01:59:26.117,02:00:08.451,02:00:45.029,02:00:47.991,02:01:02.338,02:01:26.404,02:02:03.441,02:02:32.470,02:02:35.014,02:04:53.903,02:06:26.537,02:06:33.711,02:06:43.513,02:06:50.520,02:07:02.406,02:07:13.042,02:07:17.547
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,377,00:00:15.724,15.724,377,00:00:15.724,15.724
2,378,00:00:15.724,15.724,699,00:00:29.154,29.154,322,00:00:13.430,13.430
3,700,00:00:29.154,29.154,1319,00:00:55.013,55.013,620,00:00:25.859,25.859
4,1320,00:00:55.013,55.013,2646,00:01:50.360,110.360,1327,00:00:55.347,55.347
5,2647,00:01:50.360,110.360,3561,00:02:28.523,148.523,915,00:00:38.163,38.163
6,3562,00:02:28.523,148.523,4362,00:03:01.932,181.932,801,00:00:33.408,33.408
7,4363,00:03:01.932,181.932,6069,00:04:13.128,253.128,1707,00:01:11.196,71.196
8,6070,00:04:13.128,253.128,6162,00:04:17.007,257.007,93,00:00:03.879,3.879
9,6163,00:04:17.007,257.007,7856,00:05:27.661,327.661,1694,00:01:10.654,70.654
10,7857,00:05:27.661,327.661,8368,00:05:49.015,349.015,512,00:00:21.355,21.355
11,8369,00:05:49.015,349.015,9930,00:06:54.164,414.164,1562,00:01:05.148,65.148
12,9931,00:06:54.164,414.164,11832,00:08:13.493,493.493,1902,00:01:19.329,79.329
13,11833,00:08:13.493,493.493,12013,00:08:21.042,501.042,181,00:00:07.549,7.549
14,12014,00:08:21.042,501.042,13265,00:09:13.261,553.261,1252,00:00:52.219,52.219
15,13266,00:09:13.261,553.261,13779,00:09:34.699,574.699,514,00:00:21.438,21.438
16,13780,00:09:34.699,574.699,14052,00:09:46.086,586.086,273,00:00:11.386,11.386
17,14053,00:09:46.086,586.086,14111,00:09:48.546,588.546,59,00:00:02.461,2.461
18,14112,00:09:48.546,588.546,14214,00:09:52.842,592.842,103,00:00:04.296,4.296
19,14215,00:09:52.842,592.842,14533,00:10:06.147,606.147,319,00:00:13.305,13.305
20,14534,00:10:06.147,606.147,15103,00:10:29.921,629.921,570,00:00:23.774,23.774
21,15104,00:10:29.921,629.921,15532,00:10:47.814,647.814,429,00:00:17.893,17.893
22,15533,00:10:47.814,647.814,17901,00:12:26.621,746.621,2369,00:01:38.807,98.807
23,17902,00:12:26.621,746.621,18333,00:12:44.639,764.639,432,00:00:18.018,18.018
24,18334,00:12:44.639,764.639,18661,00:12:58.319,778.319,328,00:00:13.680,13.680
25,18662,00:12:58.319,778.319,19233,00:13:22.176,802.176,572,00:00:23.857,23.857
26,19234,00:13:22.176,802.176,20071,00:13:57.128,837.128,838,00:00:34.952,34.952
27,20072,00:13:57.128,837.128,20146,00:14:00.256,840.256,75,00:00:03.128,3.128
28,20147,00:14:00.256,840.256,21355,00:14:50.681,890.681,1209,00:00:50.425,50.425
29,21356,00:14:50.681,890.681,21428,00:14:53.726,893.726,73,00:00:03.045,3.045
30,21429,00:14:53.726,893.726,21509,00:14:57.105,897.105,81,00:00:03.378,3.378
31,21510,00:14:57.105,897.105,21935,00:15:14.872,914.872,426,00:00:17.768,17.768
32,21936,00:15:14.872,914.872,22324,00:15:31.097,931.097,389,00:00:16.225,16.225
33,22325,00:15:31.097,931.097,22450,00:15:36.352,936.352,126,00:00:05.255,5.255
34,22451,00:15:36.352,936.352,24266,00:16:52.094,1012.094,1816,00:01:15.742,75.742
35,24267,00:16:52.094,1012.094,24563,00:17:04.482,1024.482,297,00:00:12.387,12.387
36,24564,00:17:04.482,1024.482,24852,00:17:16.535,1036.535,289,00:00:12.054,12.054
37,24853,00:17:16.535,1036.535,25603,00:17:47.858,1067.858,751,00:00:31.323,31.323
38,25604,00:17:47.858,1067.858,25633,00:17:49.110,1069.110,30,00:00:01.251,1.251
39,25634,00:17:49.110,1069.110,25654,00:17:49.986,1069.986,21,00:00:00.876,0.876
40,25655,00:17:49.986,1069.986,25744,00:17:53.739,1073.739,90,00:00:03.754,3.754
41,25745,00:17:53.739,1073.739,25767,00:17:54.699,1074.699,23,00:00:00.959,0.959
42,25768,00:17:54.699,1074.699,26105,00:18:08.796,1088.796,338,00:00:14.097,14.097
43,26106,00:18:08.796,1088.796,26625,00:18:30.484,1110.484,520,00:00:21.688,21.688
44,26626,00:18:30.484,1110.484,26870,00:18:40.703,1120.703,245,00:00:10.219,10.219
45,26871,00:18:40.703,1120.703,26910,00:18:42.371,1122.371,40,00:00:01.668,1.668
46,26911,00:18:42.371,1122.371,27074,00:18:49.211,1129.211,164,00:00:06.840,6.840
47,27075,00:18:49.211,1129.211,27137,00:18:51.839,1131.839,63,00:00:02.628,2.628
48,27138,00:18:51.839,1131.839,27412,00:19:03.309,1143.309,275,00:00:11.470,11.470
49,27413,00:19:03.309,1143.309,27599,00:19:11.108,1151.108,187,00:00:07.799,7.799
50,27600,00:19:11.108,1151.108,28085,00:19:31.379,1171.379,486,00:00:20.270,20.270
51,28086,00:19:31.379,1171.379,28916,00:20:06.038,1206.038,831,00:00:34.660,34.660
52,28917,00:20:06.038,1206.038,30205,00:20:59.800,1259.800,1289,00:00:53.762,53.762
53,30206,00:20:59.800,1259.800,31286,00:21:44.887,1304.887,1081,00:00:45.087,45.087
54,31287,00:21:44.887,1304.887,31375,00:21:48.599,1308.599,89,00:00:03.712,3.712
55,31376,00:21:48.599,1308.599,31917,00:22:11.205,1331.205,542,00:00:22.606,22.606
56,31918,00:22:11.205,1331.205,33954,00:23:36.165,1416.165,2037,00:01:24.960,84.960
57,33955,00:23:36.165,1416.165,34328,00:23:51.764,1431.764,374,00:00:15.599,15.599
58,34329,00:23:51.764,1431.764,34480,00:23:58.103,1438.103,152,00:00:06.340,6.340
59,34481,00:23:58.103,1438.103,36421,00:25:19.059,1519.059,1941,00:01:20.956,80.956
60,36422,00:25:19.059,1519.059,36705,00:25:30.904,1530.904,284,00:00:11.845,11.845
61,36706,00:25:30.904,1530.904,36769,00:25:33.574,1533.574,64,00:00:02.669,2.669
62,36770,00:25:33.574,1533.574,36833,00:25:36.243,1536.243,64,00:00:02.669,2.669
63,36834,00:25:36.243,1536.243,37183,00:25:50.841,1550.841,350,00:00:14.598,14.598
64,37184,00:25:50.841,1550.841,37363,00:25:58.348,1558.348,180,00:00:07.508,7.508
65,37364,00:25:58.348,1558.348,37445,00:26:01.769,1561.769,82,00:00:03.420,3.420
66,37446,00:26:01.769,1561.769,38121,00:26:29.963,1589.963,676,00:00:28.195,28.195
67,38122,00:26:29.963,1589.963,38376,00:26:40.599,1600.599,255,00:00:10.636,10.636
68,38377,00:26:40.599,1600.599,38805,00:26:58.492,1618.492,429,00:00:17.893,17.893
69,38806,00:26:58.492,1618.492,39413,00:27:23.851,1643.851,608,00:00:25.359,25.359
70,39414,00:27:23.851,1643.851,39596,00:27:31.483,1651.483,183,00:00:07.633,7.633
